Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,23/12/01,Chelsea,Bolton,5,1,H,2,1,H,16,10,5,4,7,21,4,4,2,2,0,0,"Rennie, U. D."
2001/02,23/12/01,Liverpool,Arsenal,1,2,A,0,1,A,15,11,2,3,12,20,6,4,1,4,0,1,"Durkin, P. A."
2001/02,26/12/01,Arsenal,Chelsea,2,1,H,0,1,A,11,9,7,3,18,21,4,5,2,4,0,0,"Barber, G. P."
2001/02,26/12/01,Aston Villa,Liverpool,1,2,A,1,1,D,10,12,5,6,10,9,7,3,1,0,0,0,"D'Urso, A. P."
2001/02,26/12/01,Blackburn,Sunderland,0,3,A,0,2,A,7,13,3,7,24,23,3,5,1,2,1,0,"Wilkes, C. R."
2001/02,26/12/01,Bolton,Leeds,0,3,A,0,2,A,17,8,2,5,15,20,11,2,1,3,0,0,"Wiley, A. G."
2001/02,26/12/01,Everton,Man United,0,2,A,0,0,D,10,11,5,7,11,12,4,11,0,1,0,0,"Rennie, U. D."
2001/02,26/12/01,Fulham,Charlton,0,0,D,0,0,D,10,8,4,3,5,14,4,9,2,1,0,0,"Bennett, S. G."
2001/02,26/12/01,Ipswich,Leicester,2,0,H,0,0,D,12,3,6,1,2,6,3,10,0,2,0,0,"Barry, N. S."
2001/02,26/12/01,Newcastle,Middlesbrough,3,0,H,1,0,H,18,5,9,2,18,12,10,2,0,1,0,0,"Halsey, M. R."
2001/02,26/12/01,Southampton,Tottenham,1,0,H,0,0,D,6,10,5,6,15,16,4,13,0,3,0,0,"Jones, P."
2001/02,26/12/01,West Ham,Derby,4,0,H,1,0,H,14,6,9,3,13,19,3,1,1,3,0,1,"Poll, G."
2001/02,29/12/01,Arsenal,Middlesbrough,2,1,H,0,1,A,16,3,6,2,17,13,9,1,3,4,0,0,"D'Urso, A. P."
